grouping_venue_conditions,index_1b,index_2b,index_3b,index_bacon,index_bb,index_hardhit,index_hits,index_hr,index_obp,index_runs,index_so,index_woba,index_wobacon,index_wobatto,index_xbacon,index_xwobacon,key_bat_side,key_is_year_rolling,key_num_years_rolling,key_year,main_team_id,n_pa,name_display_club,venue_id,venue_name,year_range
All,103,91,86,99,99,101,98,87,100,96,99,98,97,98,99,99,L,-1,2,2026,108,12296,Angels,1,Angel Stadium,2025-2026
All,100,101,90,103,101,102,103,124,102,108,99,104,105,104,101,102,L,-1,2,2026,110,16152,Orioles,2,Oriole Park at Camden Yards,2025-2026
All,100,132,116,102,102,103,104,85,105,108,87,104,100,101,100,99,L,-1,2,2026,111,14232,Red Sox,3,Fenway Park,2025-2026
All,92,90,60,96,108,102,92,104,99,96,103,98,97,102,99,100,L,-1,2,2026,145,16115,White Sox,4,Rate Field,2025-2026
All,100,88,72,97,96,93,96,94,96,90,103,95,96,98,98,97,L,-1,2,2026,114,18283,Guardians,5,Progressive Field,2025-2026
All,103,121,169,99,98,101,105,86,101,102,89,101,99,99,99,99,L,-1,2,2026,118,14937,Royals,7,Kauffman Stadium,2025-2026
All,99,99,99,97,84,93,99,95,93,88,101,94,96,97,97,97,L,-1,2,2026,139,6995,Rays,12,Tropicana Field,2025-2026
All,99,99,54,100,93,97,99,106,98,96,106,98,101,99,101,100,L,-1,2,2026,141,16242,Blue Jays,14,Rogers Centre,2025-2026
All,101,104,243,97,96,100,102,79,99,98,90,99,96,98,98,97,L,-1,2,2026,109,16093,D-backs,15,Chase Field,2025-2026
All,102,77,151,103,102,102,101,119,101,106,104,103,105,103,101,102,L,-1,2,2026,112,14897,Cubs,17,Wrigley Field,2025-2026
All,111,121,216,111,100,99,117,122,111,130,85,114,113,106,102,102,L,-1,2,2026,115,14912,Rockies,19,Coors Field,2025-2026
All,93,92,57,99,100,106,96,117,97,96,111,98,101,101,102,104,L,-1,2,2026,119,16334,Dodgers,22,UNIQLO Field at Dodger Stadium,2025-2026
All,97,129,96,102,94,102,102,92,101,104,101,102,102,99,101,102,L,-1,2,2026,134,15180,Pirates,31,PNC Park,2025-2026
All,99,90,90,102,110,95,95,86,99,92,116,96,100,95,99,97,L,-1,2,2026,158,15926,Brewers,32,American Family Field,2025-2026
All,92,89,26,94,97,99,92,106,94,88,108,94,95,99,99,99,L,-1,2,2026,136,17734,Mariners,680,T-Mobile Park,2025-2026
All,99,93,45,102,107,108,99,114,100,102,109,101,103,101,102,102,L,-1,2,2026,117,11499,Astros,2392,Daikin Park,2025-2026
All,100,91,224,100,102,100,100,93,101,100,100,100,100,99,98,98,L,-1,2,2026,116,15739,Tigers,2394,Comerica Park,2025-2026
All,102,107,123,100,101,97,100,77,101,98,96,99,97,97,100,99,L,-1,2,2026,137,15552,Giants,2395,Oracle Park,2025-2026
All,99,119,51,108,112,98,105,119,108,117,102,108,110,104,102,102,L,-1,2,2026,133,13794,Athletics,2529,Sutter Health Park,2025-2026
All,96,93,78,100,111,100,96,104,101,100,107,100,101,101,102,101,L,-1,2,2026,113,13302,Reds,2602,Great American Ball Park,2025-2026
All,93,83,93,92,108,94,90,84,95,86,102,93,91,98,96,96,L,-1,2,2026,135,14829,Padres,2680,Petco Park,2025-2026
