grouping_venue_conditions,index_1b,index_2b,index_3b,index_bacon,index_bb,index_hardhit,index_hits,index_hr,index_obp,index_runs,index_so,index_woba,index_wobacon,index_wobatto,index_xbacon,index_xwobacon,key_bat_side,key_is_year_rolling,key_num_years_rolling,key_year,main_team_id,n_pa,name_display_club,venue_id,venue_name,year_range
All,100,100,92,106,100,99,103,125,102,108,109,104,109,102,100,101,L,-1,2,2026,143,15625,Phillies,2681,Citizens Bank Park,2025-2026
All,110,109,42,97,90,104,102,67,98,90,92,95,92,95,100,99,L,-1,2,2026,138,15649,Cardinals,2889,Busch Stadium,2025-2026
All,108,99,71,106,102,100,104,97,103,104,102,102,104,99,102,102,L,-1,2,2026,121,16995,Mets,3289,Citi Field,2025-2026
All,106,96,109,102,97,104,105,113,102,108,94,104,103,103,104,106,L,-1,2,2026,120,18424,Nationals,3309,Nationals Park,2025-2026
All,103,107,69,98,92,101,100,85,98,94,97,97,96,97,99,98,L,-1,2,2026,142,16010,Twins,3312,Target Field,2025-2026
All,90,101,80,99,116,105,97,124,102,108,101,104,103,105,99,102,L,-1,2,2026,147,17274,Yankees,3313,Yankee Stadium,2025-2026
All,100,95,154,97,99,100,98,89,98,96,99,98,97,98,99,99,L,-1,2,2026,146,16140,Marlins,4169,loanDepot park,2025-2026
All,106,95,71,101,93,99,104,111,100,104,94,102,101,102,99,99,L,-1,2,2026,144,16333,Braves,4705,Truist Park,2025-2026
All,98,100,78,94,88,98,97,89,94,86,99,93,93,97,100,100,L,-1,2,2026,140,14236,Rangers,5325,Globe Life Field,2025-2026
All,97,85,88,100,94,99,95,100,97,94,114,97,100,97,98,100,R,-1,2,2026,108,21105,Angels,1,Angel Stadium,2025-2026
All,101,99,87,102,95,106,101,104,99,100,103,100,102,99,101,102,R,-1,2,2026,110,17562,Orioles,2,Oriole Park at Camden Yards,2025-2026
All,108,107,81,105,100,98,105,87,104,104,100,102,102,98,100,98,R,-1,2,2026,111,19549,Red Sox,3,Fenway Park,2025-2026
All,103,94,70,98,98,104,100,95,100,98,94,99,97,101,100,101,R,-1,2,2026,145,17414,White Sox,4,Rate Field,2025-2026
All,105,104,78,106,109,103,101,80,104,102,110,101,103,95,103,103,R,-1,2,2026,114,14181,Guardians,5,Progressive Field,2025-2026
All,98,109,143,97,104,104,101,96,101,102,88,101,97,102,102,102,R,-1,2,2026,118,17672,Royals,7,Kauffman Stadium,2025-2026
All,97,124,80,103,84,98,107,139,100,112,98,106,108,105,102,105,R,-1,2,2026,139,7167,Rays,12,Tropicana Field,2025-2026
All,102,99,67,99,109,103,102,111,102,106,92,103,100,104,100,101,R,-1,2,2026,141,19721,Blue Jays,14,Rogers Centre,2025-2026
All,99,106,225,100,104,101,102,105,103,108,88,104,101,104,102,103,R,-1,2,2026,109,17482,D-backs,15,Chase Field,2025-2026
All,95,87,95,96,105,102,96,112,98,96,97,98,97,103,101,101,R,-1,2,2026,112,19259,Cubs,17,Wrigley Field,2025-2026
All,114,135,242,114,90,104,118,102,109,125,96,112,114,100,103,102,R,-1,2,2026,115,18918,Rockies,19,Coors Field,2025-2026
All,92,97,74,99,105,100,98,133,100,104,100,102,103,105,101,101,R,-1,2,2026,119,18172,Dodgers,22,UNIQLO Field at Dodger Stadium,2025-2026
All,107,110,77,103,97,101,102,66,101,96,101,98,98,94,102,99,R,-1,2,2026,134,18403,Pirates,31,PNC Park,2025-2026
All,95,95,54,99,106,96,96,109,99,98,104,99,100,101,97,97,R,-1,2,2026,158,18570,Brewers,32,American Family Field,2025-2026
All,89,87,26,94,90,97,89,100,91,83,117,91,94,96,99,99,R,-1,2,2026,136,16441,Mariners,680,T-Mobile Park,2025-2026
All,93,98,142,100,99,94,97,112,97,98,112,99,103,99,97,96,R,-1,2,2026,117,21365,Astros,2392,Daikin Park,2025-2026
All,101,99,77,101,98,98,102,117,101,106,99,103,103,103,99,98,R,-1,2,2026,116,17546,Tigers,2394,Comerica Park,2025-2026
All,105,87,135,96,95,93,99,85,97,92,95,96,94,98,96,96,R,-1,2,2026,137,17886,Giants,2395,Oracle Park,2025-2026
All,108,126,74,110,102,96,113,122,110,125,90,112,112,106,101,99,R,-1,2,2026,133,19510,Athletics,2529,Sutter Health Park,2025-2026
All,89,93,83,96,116,95,93,111,98,96,105,98,98,102,99,100,R,-1,2,2026,113,20054,Reds,2602,Great American Ball Park,2025-2026
All,99,81,60,96,111,100,96,101,98,94,100,97,96,101,101,102,R,-1,2,2026,135,18563,Padres,2680,Petco Park,2025-2026
All,107,97,141,105,88,101,105,104,100,104,104,102,104,99,100,98,R,-1,2,2026,143,18226,Phillies,2681,Citizens Bank Park,2025-2026
All,107,108,63,97,91,103,103,78,99,96,88,98,94,98,100,99,R,-1,2,2026,138,18440,Cardinals,2889,Busch Stadium,2025-2026
All,94,83,99,93,103,100,92,92,95,88,103,94,92,99,100,100,R,-1,2,2026,121,17860,Mets,3289,Citi Field,2025-2026
All,106,103,78,103,101,103,105,107,104,108,93,104,103,103,102,102,R,-1,2,2026,120,15940,Nationals,3309,Nationals Park,2025-2026
All,104,115,122,103,102,100,103,84,104,106,95,103,101,99,101,101,R,-1,2,2026,142,18007,Twins,3312,Target Field,2025-2026
All,89,91,103,96,105,106,92,107,96,92,108,96,98,100,101,104,R,-1,2,2026,147,16330,Yankees,3313,Yankee Stadium,2025-2026
All,95,103,140,95,101,98,94,72,98,90,96,95,93,97,97,96,R,-1,2,2026,146,17085,Marlins,4169,loanDepot park,2025-2026
All,104,95,107,103,99,102,101,99,101,100,105,100,102,99,102,102,R,-1,2,2026,144,17438,Braves,4705,Truist Park,2025-2026
All,94,98,98,93,91,101,94,87,92,85,103,92,93,96,96,97,R,-1,2,2026,140,18396,Rangers,5325,Globe Life Field,2025-2026
