grouping_venue_conditions,index_1b,index_2b,index_3b,index_bacon,index_bb,index_hardhit,index_hits,index_hr,index_obp,index_runs,index_so,index_woba,index_wobacon,index_wobatto,index_xbacon,index_xwobacon,key_bat_side,key_is_year_rolling,key_num_years_rolling,key_year,main_team_id,n_pa,name_display_club,venue_id,venue_name,year_range
All,98,100,102,100,99,96,99,105,99,100,103,100,101,100,98,97,R,-1,4,2026,117,44096,Astros,2392,Daikin Park,2023-2026
All,100,97,87,99,102,98,99,101,100,100,98,100,99,101,98,98,R,-1,4,2026,116,38132,Tigers,2394,Comerica Park,2023-2026
All,103,99,135,97,90,97,99,83,97,92,96,96,95,97,97,96,R,-1,4,2026,137,37356,Giants,2395,Oracle Park,2023-2026
All,107,124,72,108,103,95,112,118,109,123,91,111,110,105,100,99,R,-1,4,2026,133,19288,Athletics,2529,Sutter Health Park,2023-2026
All,94,97,63,98,111,96,97,115,100,101,102,100,100,103,99,99,R,-1,4,2026,113,40899,Reds,2602,Great American Ball Park,2023-2026
All,98,87,75,97,104,99,96,108,98,95,102,98,98,101,100,102,R,-1,4,2026,135,38120,Padres,2680,Petco Park,2023-2026
All,100,98,107,101,88,98,100,103,98,97,104,98,101,98,98,96,R,-1,4,2026,143,38838,Phillies,2681,Citizens Bank Park,2023-2026
All,108,107,82,99,95,103,104,83,101,100,89,100,97,99,101,100,R,-1,4,2026,138,38508,Cardinals,2889,Busch Stadium,2023-2026
All,92,87,86,95,108,102,93,106,98,95,104,98,97,101,100,102,R,-1,4,2026,121,37732,Mets,3289,Citi Field,2023-2026
All,105,98,92,101,99,101,103,99,102,104,93,102,100,101,100,100,R,-1,4,2026,120,34873,Nationals,3309,Nationals Park,2023-2026
All,100,115,111,103,99,100,103,99,102,105,100,102,103,100,100,101,R,-1,4,2026,142,37260,Twins,3312,Target Field,2023-2026
All,91,89,83,97,109,106,94,116,98,98,105,99,100,102,102,105,R,-1,4,2026,147,37871,Yankees,3313,Yankee Stadium,2023-2026
All,101,107,118,98,98,100,99,80,100,96,97,98,97,98,99,98,R,-1,4,2026,146,38668,Marlins,4169,loanDepot park,2023-2026
All,103,100,99,103,101,104,102,101,101,102,104,101,103,99,103,103,R,-1,4,2026,144,38151,Braves,4705,Truist Park,2023-2026
All,96,96,104,97,99,102,98,106,97,96,103,98,98,100,98,99,R,-1,4,2026,140,38124,Rangers,5325,Globe Life Field,2023-2026
