grouping_venue_conditions,index_1b,index_2b,index_3b,index_bacon,index_bb,index_hardhit,index_hits,index_hr,index_obp,index_runs,index_so,index_woba,index_wobacon,index_wobatto,index_xbacon,index_xwobacon,key_bat_side,key_is_year_rolling,key_num_years_rolling,key_year,main_team_id,n_pa,name_display_club,venue_id,venue_name,year_range
All,99,88,90,98,100,98,96,97,98,95,103,97,98,99,98,98,L,-1,4,2026,108,25037,Angels,1,Angel Stadium,2023-2026
All,100,92,87,100,97,103,101,122,100,104,98,102,102,103,100,101,L,-1,4,2026,110,33116,Orioles,2,Oriole Park at Camden Yards,2023-2026
All,105,138,106,105,99,102,109,88,107,114,87,107,104,101,102,101,L,-1,4,2026,111,31422,Red Sox,3,Fenway Park,2023-2026
All,99,89,73,97,108,98,96,97,100,97,100,98,97,101,99,99,L,-1,4,2026,145,29661,White Sox,4,Rate Field,2023-2026
All,101,103,58,98,95,95,99,95,97,95,97,98,97,99,99,97,L,-1,4,2026,114,36807,Guardians,5,Progressive Field,2023-2026
All,103,120,172,100,103,104,104,80,103,104,89,102,98,99,100,99,L,-1,4,2026,118,29491,Royals,7,Kauffman Stadium,2023-2026
All,97,97,112,99,93,94,96,89,94,89,110,95,98,95,98,98,L,-1,4,2026,139,20699,Rays,12,Tropicana Field,2023-2026
All,94,107,73,99,98,96,97,102,98,96,107,98,100,99,99,99,L,-1,4,2026,141,28838,Blue Jays,14,Rogers Centre,2023-2026
All,103,105,230,99,97,100,103,81,100,100,92,100,98,98,98,97,L,-1,4,2026,109,32365,D-backs,15,Chase Field,2023-2026
All,100,87,142,101,101,100,99,105,99,99,106,99,102,99,100,100,L,-1,4,2026,112,28189,Cubs,17,Wrigley Field,2023-2026
All,114,119,192,112,104,100,116,108,111,126,89,112,112,104,102,101,L,-1,4,2026,115,28257,Rockies,19,Coors Field,2023-2026
All,92,92,57,97,97,104,95,116,96,96,104,98,99,102,101,103,L,-1,4,2026,119,32143,Dodgers,22,UNIQLO Field at Dodger Stadium,2023-2026
All,99,126,82,102,100,103,103,93,103,106,97,103,102,100,101,103,L,-1,4,2026,134,29084,Pirates,31,PNC Park,2023-2026
All,96,85,99,99,109,96,94,98,98,93,113,97,100,98,99,98,L,-1,4,2026,158,30540,Brewers,32,American Family Field,2023-2026
All,94,91,40,96,93,100,93,103,94,89,113,94,97,97,100,100,L,-1,4,2026,136,32149,Mariners,680,T-Mobile Park,2023-2026
All,99,94,92,102,106,103,99,108,101,102,107,101,102,101,101,102,L,-1,4,2026,117,24456,Astros,2392,Daikin Park,2023-2026
All,100,88,211,99,96,100,99,93,98,98,100,99,99,99,100,99,L,-1,4,2026,116,29891,Tigers,2394,Comerica Park,2023-2026
All,104,99,122,98,94,101,100,77,98,93,97,96,95,96,100,99,L,-1,4,2026,137,29639,Giants,2395,Oracle Park,2023-2026
All,98,118,64,108,116,98,104,119,108,118,102,108,111,105,102,102,L,-1,4,2026,133,13438,Athletics,2529,Sutter Health Park,2023-2026
All,94,96,92,102,105,97,99,122,101,105,107,103,105,103,100,100,L,-1,4,2026,113,26273,Reds,2602,Great American Ball Park,2023-2026
All,94,94,67,93,104,96,92,87,96,89,101,94,92,98,98,98,L,-1,4,2026,135,28932,Padres,2680,Petco Park,2023-2026
All,99,97,106,105,103,101,103,127,102,109,105,105,108,103,101,102,L,-1,4,2026,143,30771,Phillies,2681,Citizens Bank Park,2023-2026
All,107,104,67,97,93,102,102,82,99,95,90,97,94,98,100,100,L,-1,4,2026,138,29271,Cardinals,2889,Busch Stadium,2023-2026
All,98,95,67,99,108,99,96,96,100,98,103,99,98,100,99,98,L,-1,4,2026,121,31658,Mets,3289,Citi Field,2023-2026
All,108,99,92,101,94,100,105,105,102,106,88,103,101,102,103,104,L,-1,4,2026,120,33121,Nationals,3309,Nationals Park,2023-2026
All,100,104,93,102,99,102,100,96,100,100,103,100,101,99,100,101,L,-1,4,2026,142,31323,Twins,3312,Target Field,2023-2026
All,91,100,60,99,113,104,97,122,101,104,100,102,102,105,100,102,L,-1,4,2026,147,31897,Yankees,3313,Yankee Stadium,2023-2026
All,106,100,135,102,98,100,103,94,102,102,98,101,101,99,101,101,L,-1,4,2026,146,29290,Marlins,4169,loanDepot park,2023-2026
All,106,90,87,102,92,99,103,109,100,101,102,100,103,100,101,101,L,-1,4,2026,144,30140,Braves,4705,Truist Park,2023-2026
All,98,98,75,96,94,103,98,105,96,94,98,97,97,100,100,101,L,-1,4,2026,140,29623,Rangers,5325,Globe Life Field,2023-2026
All,99,87,86,101,102,99,97,106,100,99,108,100,101,100,99,100,R,-1,4,2026,108,42847,Angels,1,Angel Stadium,2023-2026
All,103,101,148,101,91,106,101,91,98,97,101,98,100,97,102,103,R,-1,4,2026,110,35172,Orioles,2,Oriole Park at Camden Yards,2023-2026
All,106,105,96,105,96,98,103,88,103,103,104,101,103,97,98,97,R,-1,4,2026,111,36541,Red Sox,3,Fenway Park,2023-2026
All,103,95,55,99,98,101,99,95,99,97,99,98,98,99,100,99,R,-1,4,2026,145,38609,White Sox,4,Rate Field,2023-2026
All,99,111,108,102,107,100,99,79,101,97,107,99,100,96,102,101,R,-1,4,2026,114,30958,Guardians,5,Progressive Field,2023-2026
All,103,112,171,100,99,105,105,98,103,106,89,103,100,102,103,104,R,-1,4,2026,118,37776,Royals,7,Kauffman Stadium,2023-2026
All,94,100,120,99,92,96,99,118,98,100,102,100,101,102,99,99,R,-1,4,2026,139,29126,Rays,12,Tropicana Field,2023-2026
All,101,102,62,98,102,101,102,104,101,102,92,101,98,103,99,100,R,-1,4,2026,141,41482,Blue Jays,14,Rogers Centre,2023-2026
All,103,113,214,102,101,103,104,95,103,108,92,104,102,101,103,102,R,-1,4,2026,109,37209,D-backs,15,Chase Field,2023-2026
All,98,84,96,96,102,99,96,104,97,95,98,97,96,101,100,100,R,-1,4,2026,112,39884,Cubs,17,Wrigley Field,2023-2026
All,114,124,223,112,92,102,116,105,109,124,93,111,112,102,103,102,R,-1,4,2026,115,40184,Rockies,19,Coors Field,2023-2026
All,92,97,63,98,105,99,98,130,99,103,99,102,102,105,100,101,R,-1,4,2026,119,38906,Dodgers,22,UNIQLO Field at Dodger Stadium,2023-2026
All,106,109,83,101,98,102,101,69,101,97,98,98,97,96,102,100,R,-1,4,2026,134,38918,Pirates,31,PNC Park,2023-2026
All,94,94,64,99,105,97,96,108,98,96,107,98,100,100,99,99,R,-1,4,2026,158,38761,Brewers,32,American Family Field,2023-2026
All,88,84,54,93,97,94,88,92,91,80,117,90,93,95,98,98,R,-1,4,2026,136,35763,Mariners,680,T-Mobile Park,2023-2026
